source_id	VFB_id	label	parent_classes	name_in_banc	name_in_flywire_fafb	name_in_hemibrain	name_in_male-cns	name_in_manc	name_in_neuprint_optic_lobe
11192283	VFB_00102exw	BAlc post lat lat #4 ALT neuron left (L1EM:11192283)	['BAlc lineage neuron']						
15587533	VFB_00102f59	BLVp1 bilateral 2 left (L1EM:15587533)	['BLVp1 lineage neuron']						
14266446	VFB_001001m0	CM4 s ven 4 Left (L1EM:14266446)	['CM4 lineage neuron']						
8471817	VFB_00102eqx	BLAl F neuron 2 right (L1EM:8471817)	['BLAl1 lineage neuron']						
6152239	VFB_001001er	CM4 s MEFcom 1 Right (L1EM:6152239)	['CM4 lineage neuron']						
14749848	VFB_001001pg	DALl1 s 4 Right (L1EM:14749848)	['DALl1 lineage neuron']						
12532127	VFB_001001iy	DPMm1 ppFB s 4 Right (L1EM:12532127)	['DPMm1 lineage neuron']						
8426335	VFB_001001f6	BAlp4 s 2 Left  (L1EM:8426335)	['BAlp4 lineage neuron']						
19393720	VFB_0010020n	BAmd2 v s 7 Left (L1EM:19393720)	['BAmd2 lineage neuron']						
17728632	VFB_00102fh0	BAlc post ascending 1 left (L1EM:17728632)	['BAlc lineage neuron']						
17192980	VFB_001001st	CP1v a s 2 Left (L1EM:17192980)	['CP1 lineage neuron']						
11362334	VFB_00102eye	DPMpl3 a 2 right (L1EM:11362334)	['DPMpl3 lineage neuron']						
14266430	VFB_001001lz	CM4 s ppFB 4 Left (L1EM:14266430)	['CM4 lineage neuron']						
5865628	VFB_00102enc	DALv1 contralateral 3 left (L1EM:5865628)	['DALv1 lineage neuron']						
19393740	VFB_0010020p	BAmd2 v s 2 Left (L1EM:19393740)	['BAmd2 lineage neuron']						
6252764	VFB_00102eob	BAlc post lat lat 6 AL right (L1EM:6252764)	['BAlc lineage neuron']						
13841014	VFB_001001lg	BAmd2 v s 7 Right (L1EM:13841014)	['BAmd2 lineage neuron']						
11788830	VFB_00102ez1	BAlc_post I right (L1EM:11788830)	['BAlc lineage neuron']						
17728776	VFB_001001wo	BAlp4 s 1 Left   (L1EM:17728776)	['BAlp4 lineage neuron']						
17560221	VFB_001001va	DPLc5 s 3 Right (L1EM:17560221)	['DPLc5 lineage neuron']						
14547101	VFB_001001o8	CM4 s dor pos com 2 Right (L1EM:14547101)	['CM4 lineage neuron']						
17729105	VFB_001001xd	BLAvm ant s 2 Left (L1EM:17729105)	['BLAvm lineage neuron']						
17327188	VFB_00102fdg	BAlc post ascending 1 right (L1EM:17327188)	['BAlc lineage neuron']						
13838330	VFB_001001le	BAmd2 v s 3 Right (L1EM:13838330)	['BAmd2 lineage neuron']						
17733134	VFB_001001z0	TR Balv s 1 Left (L1EM:17733134)	['BAlv lineage neuron']						
12089601	VFB_00102ezh	BAlc_post I2 left (L1EM:12089601)	['BAlc lineage neuron']						
14546879	VFB_001001nr	CM4 s ven 1 Right (L1EM:14546879)	['CM4 lineage neuron']						
13341065	VFB_001001kh	DPMm1 ant comm s 1 Right (L1EM:13341065)	['DPMm1 lineage neuron']						
16937815	VFB_00102fbi	DPMm1 ipsilateral sheet left (L1EM:16937815)	['DPMm1 lineage neuron']						
10794801	VFB_001001h5	DPMpm1 ppFB 5 - Right (L1EM:10794801)	['DPMpm1 lineage neuron']						
12615701	VFB_001001j5	BLAl s 2 Right (L1EM:12615701)	['BLAl1 lineage neuron']						
14162492	VFB_00102egl	DPLam neuron left (L1EM:14162492)	['DPLam lineage neuron']						
19389329	VFB_0010020i	DPLd s 6 Left (L1EM:19389329)	['DPLd lineage neuron']						
5999941	VFB_001001eo	DPMpm2 s loSM 1 Right (L1EM:5999941)	['DPMpm2 lineage neuron']						
6156152	VFB_00102eo1	DALd bushy right; DALd_r 5 Review (L1EM:6156152)	['DALd lineage neuron']						
9864387	VFB_001001ft	CM4 s dor pos com 3 Left (L1EM:9864387)	['CM4 lineage neuron']						
14547081	VFB_001001o5	CM4 s loSM 5 Right (L1EM:14547081)	['CM4 lineage neuron']						
16667592	VFB_00102fad	DALd descending 2 left; DALd_l  6 (L1EM:16667592)	['DALd lineage neuron']						
14727248	VFB_001001pf	DALl1 s 1 Right (L1EM:14727248)	['DALl1 lineage neuron']						
15139341	VFB_001001re	BAmd1 d s 2 Left (L1EM:15139341)	['BAmd1 lineage neuron']						
10403609	VFB_00102evq	DALv1 contralateral 2 right; Tel-like 11?  (L1EM:10403609)	['DALv1 lineage neuron']						
17729005	VFB_001001x8	BLAvm ant s 4 Left (L1EM:17729005)	['BLAvm lineage neuron']						
16491111	VFB_001001rz	DPLc5 s 4 Left (L1EM:16491111)	['DPLc5 lineage neuron']						
5770448	VFB_001001el	BLVp2 s 5 Left (L1EM:5770448)	['BLVp2 lineage neuron']						
14546910	VFB_001001nu	CM4 s MEFcom 4 Right (L1EM:14546910)	['CM4 lineage neuron']						
17634436	VFB_001001vp	TR BAlv s 7 Right (L1EM:17634436)	['BAlv lineage neuron']						
11278919	VFB_00102egg	DPMpm1 2_right (L1EM:11278919)	['DPMpm1 lineage neuron']						
14759661	VFB_00102f3t	DALl1 6 right (L1EM:14759661)	['DALl1 lineage neuron']						
16952691	VFB_00102fbx	DALd descending 1 left; DALd_l X? (L1EM:16952691)	['DALd lineage neuron']						
8573240	VFB_001001f8	DPMm1 ppFB s 6 Right (L1EM:8573240)	['DPMm1 lineage neuron']						
8880781	VFB_00102es1	DPMpm1 1 DN right (L1EM:8880781)	['DPMpm1 lineage neuron']						
19376664	VFB_0010020g	DPMpm2 ppFB 1 - Right (L1EM:19376664)	['DPMpm2 lineage neuron']						
14266451	VFB_001001m1	CM4 s dor pos MEF 1 Left (L1EM:14266451)	['CM4 lineage neuron']						
15078639	VFB_001001r0	BAmd1 d s 3 Left (L1EM:15078639)	['BAmd1 lineage neuron']						
14723506	VFB_00102f3h	BAlp4 ascending 4 left (L1EM:14723506)	['BAlp4 lineage neuron']						
10282203	VFB_001001gl	DPMm1 s Left (L1EM:10282203)	['DPMm1 lineage neuron']						
